IP地址,端口,回源端口,TLS,城市,地区,国家,城市,TCP延迟(ms),速度(MB/s)
114.129.43.213,2053,443,TRUE,Singapore,Asia Pacific,KR,Singapore,206,5.8
114.129.43.8,2053,443,TRUE,Singapore,Asia Pacific,JP,Singapore,222,5.77
114.129.43.152,2053,443,TRUE,Singapore,North America,US,Singapore,268,5.75
206.238.236.0,2053,443,TRUE,Singapore,North America,US,Singapore,306,5.72
206.238.237.211,2053,443,TRUE,Singapore,North America,CA,Singapore,274,5.72
206.238.237.208,2053,443,TRUE,Singapore,Asia Pacific,KR,Singapore,240,5.68
206.238.236.18,2053,443,TRUE,Singapore,Asia Pacific,KR,Singapore,132,5.67
114.129.43.222,2053,2096,TRUE,Singapore,Asia Pacific,KR,Singapore,171,5.66
114.129.43.239,2053,443,TRUE,Singapore,Asia Pacific,JP,Singapore,251,5.65
206.238.236.14,2053,443,TRUE,Singapore,Asia Pacific,KR,Singapore,149,5.65
206.238.237.201,2053,443,TRUE,Singapore,Asia Pacific,IN,Singapore,231,5.65
114.129.43.85,2053,443,TRUE,Singapore,Europe,SE,Singapore,362,5.61
114.129.43.164,2053,443,TRUE,Singapore,Asia Pacific,KR,Singapore,129,5.59
114.129.43.41,2053,443,TRUE,Singapore,Asia Pacific,KR,Singapore,310,5.58
154.219.5.78,2053,443,TRUE,Singapore,Asia Pacific,KR,Singapore,128,5.57
206.238.236.74,2053,443,TRUE,Singapore,Asia Pacific,JP,Singapore,232,5.54
206.238.237.202,2053,443,TRUE,Singapore,Asia Pacific,JP,Singapore,200,5.54
206.238.237.222,2053,2083,TRUE,Singapore,Asia Pacific,KR,Singapore,226,5.5
206.238.236.136,2053,443,TRUE,Singapore,Asia Pacific,KR,Singapore,288,5.47
206.238.236.80,2053,2087,TRUE,Singapore,North America,US,Singapore,352,5.46
114.129.43.53,2053,443,TRUE,Singapore,Europe,DE,Singapore,312,5.39
114.129.43.69,2053,443,TRUE,Singapore,Asia Pacific,KR,Singapore,205,5.37
114.129.43.142,2053,443,TRUE,Singapore,Asia Pacific,JP,Singapore,212,5.35
114.129.43.0,2053,443,TRUE,Singapore,North America,US,Singapore,252,5.32
206.238.236.118,2053,2096,TRUE,Singapore,Asia Pacific,JP,Singapore,264,10.29
114.129.43.59,2053,443,TRUE,Singapore,Asia Pacific,JP,Singapore,295,10.29
114.129.43.233,2053,443,TRUE,Singapore,Europe,SE,Singapore,306,10.29
